NUM_ID,NAME,CATEGORY_ID
363,FRESH REQUEST FOR AUDIT INQUIRY AND CONFIRMATION OF BALANCES,1
364,AUDIT ENQUIRY AND BALANCE CONFIRMATION,1
365,LOAN DISBURSEMENT,1
366,POWER AND PLANT,1
367,RIA  MONEY TRANSFER,1
368,MICRO-FINANCE BANKS (NON-SETTLEMENT BANK) CHEQUES,1
369,INSTANT ALERT/NOTIFICATION ON NGN00023437056 (LONG OUTSTANDING ACCOUNT) ENTRIES,1
370,ACCOUNT FREEZE MAINTENANCE,1
371,ATM CARD REQUEST AND ISSUANCE,1
372,BRANCH EXPENSES,1
373,DAILY POSITION VALUATION AND P&L RECONCILIATION,1
374,"CREDIT DOCUMENTATION, AND  MONITORING",1
375,FX POSITION KEEPING,1
376,CUSTOMERS E-SERVICES ENROLLMENT,1
377,REGULATORY AUTHORITIES/LAW ENFORCEMENT REQUEST,1
378,AML/CFT CREDIT ASSESSMENT QUESTIONNAIRE.,1
379,CHEQUE LODGEMENT,1
380,REVIEW OF STAFF AND STAFF RELATED ACCOUNTS,1
381,MANPOWER PLANNING,1
382,MOVEMENT OF CASH TO CBN,1
383,CASH ADVANCE DISBURSEMENT AND RETIREMENT,1
384,EXCESS CHARGES AND CLAIMS,1
385,RECOMMEND PROCESS IMPROVEMENT,1
386,MASTERCARD INTERNATIONAL,1
387,DCC,1
388,ETRANZACT SETTLEMENT,1
389,DEBIT CARD LIMIT MODIFICATION,1
390,ORGANISE FILES AND TIDY DOMESTIC ACCOUNT UNIT FILE ROOM ,1
391,DOCUMENT RETRIEVAL,1
392,CREDIT INTEREST MAINTENANCE,1
393,PREMISES,1
394,CHEQUE BOOK REQUISITION/ISSUANCE AND MAINTENANCE,1
395,CLOSURE OF A DECEASED CUSTOMERS ACCOUNT,1
396,ADMINISTRATION OF INTEGRITY TESTS ON TELLERS. ,1
397,ATM OPERATIONS,1
398,"DUE DILIGENCE, ENHANCED DUE DILIGENCE, AND UNUSUAL INFLOWS AND TRANSACTION AMOUNTS THAT SUGGEST STRUCTURING/SMURFING ",1
399,"DUD CHEQUES, BVN, ADDRESS AND ID VERIFICATION",1
400,STAFF ENGAGEMENT,1
401,DOCUMENT PROCESSING,1
402,PROTOCOL,1
403,LIMIT SETTING,1
404,INVESTIGATION OF INCIDENTS ,1
405,DEAL TRADE CAPTURE,1
406,INTERNATIONAL MONEY TRANSFER OPERATORS(IMTO),1
407,CUSTOMERS INVESTMENT (NGN),1
408,CONTRACTS/AGREEMENT REVIEWS,1
409,SHIPPING DOCUMENTS AND RISK ASSESSMENT REPORT (RAR) PROCESSING,1
410,EXPORT PROCESSING,1
411,BILLS FOR COLLECTION,1
412,"FILING, DISPATCH AND ARCHIVING",1
413,RETURNS AND RECONCILIATION,1
414,FORM A PROCESSING,1
415,SME - INVISIBLE FX TRANSACTION,1
416,RECONCILE ACCOUNTS WHEN NECESSARY,1
417,DOCUMENT DISPOSAL,1
418,CREDIT CARD,1
419,OUTWARD NEFT,1
420,LIMITS MAINTENANCE,1
421,CAPTURE COMPLAINTS DETAILS FOR EXCESS CHARGES,1
422,COLLATERAL LODGEMENT,1
423,PROCUREMENT AND STORE MANAGEMENT,1
424,FLEET MANAGEMENT,1
425,PROCUREMENT,1
426,BUILDING/BRANCH DEVELOPMENT,1
427,STOP PAYMENT ORDER,1
428,MANAGERS CHEQUES (MC)/BANK DRAFTS ISSUED,1
429,DEPOSIT INVESTMENTS,1
430,BTA/PTA PROCESSING,1
431,CREDIT CHECK ON CREDIT BUREAU PORTAL,1
432,VARIOUS STATE COLLECTION,1
433,PRODUCT MARKETING AND ADVERTISING,1
434,FOREIGN EXCHANGE (FX) MOBILIZATION AND DISPOSAL,1
435,UNAUTHORIZED OVERDRAWN ACCOUNT REVIEW,1
436,CASH SWAP WITH OTHER BANKS,1
437,MONTHLY CASH COUNT,1
438,VENDOR PAYMENT,1
439,MANAGERS CHEQUE LIQUIDATION,1
440,REMITA RECONCILIATION,1
441,DEBIT INTEREST MAINTENANCE,1
442,MAINTENANCE OF BANK'S AUTHORIZES SIGNATORIES,1
443,SECURITY,1
444,INTERNET BANKING ACCESS,1
445,DISPUTE AND ACQUIRING,1
446,POS/WEB TERMINALS FAILED/DECLINE TRANSACTIONS,1
447,ETRANZACT CORPAY/TRANSFER,1
448,NIBSS INSTANT PAYMENT (NIP) [OUT GOING],1
449,STAFF RETURNED CHEQUES REPORT,1
450,CUSTOMER COMPLAINTS,1
451,CHEQUE CLEARING (INWARD AND OUTWARD),1
452,WESTERN UNION MONEY TRANSFER (WUMT)/MONEY GRAM (MG),1
453,ACCOUNT PROOFS AND RECONCILIATION,1
454,BRANCH SECURITY,1
455,FIXED ASSETS REGISTER,1
456,FIRS COLLECTION,1
457,EVENT MANAGEMENT,1
458,CREDIT DISBURSEMENT,1
459,AUTOMATION AND QA,1
460,DOMICILIARY INFLOW PROCESSING,1
461,OUTWARD REAL TIME GROSS SETTLEMENT (RTGS),1
462,CUSTOMERS INVESTMENT,1
501,Overdrawn Transactions,1
502,PEP Accounts,1
541,TEST Category,1
481,TRANSACTION REVIEW,1
